Region,Inkomst,Skattesats,H. studerande,Medelålder,Lgh i flerbostadshus,Inflyttade,Utflyttade,Folkmängd
0114 Upplands Väsby,232300,31.2,1028,37.9,10567,2158,2478,37397
0115 Vallentuna,241900,30.3,627,36.7,3521,1801,1573,26306
0117 Österåker,247100,31.85,770,37.4,3918,2140,1898,36183
0120 Värmdö,242400,32.08,591,36.8,3652,2231,2033,33134
0123 Järfälla,241600,30.75,1806,38.9,16858,3790,3941,61473
0125 Ekerö,264000,30.85,524,37.2,1440,1400,1236,23311
0126 Huddinge,230300,31.85,2896,36.8,20879,6758,6731,87121
0127 Botkyrka,197900,31.75,2100,36.4,19977,5123,5580,75432
0128 Salem,244700,30.95,325,36.4,2272,862,768,14057
0136 Haninge,218100,31.2,1809,37.2,18523,4574,4597,71377
0138 Tyresö,247200,31.25,864,36.8,7936,2356,2268,40097
0139 Upplands-Bro,224300,31.2,499,37.4,4868,1388,1415,21252
0140 Nykvarn,240000,30.65,132,37.1,819,419,395,8269
0160 Täby,298000,29.9,2174,39.4,11663,3565,3876,60168
0162 Danderyd,371000,29.48,1292,40.4,5695,2460,2358,29884
0163 Sollentuna,271200,30.3,1963,38,12893,3734,3784,58884
0180 Stockholm,238700,29.7,38615,39.8,369699,46762,46051,761721
0181 Södertälje,202800,31.15,2013,38.7,26285,4104,4035,80049
0182 Nacka,271900,30.18,2595,38,19090,5648,5304,77470
0183 Sundbyberg,227500,30.9,1406,39.4,17422,3726,3950,33738
0184 Solna,230100,29.2,3526,41.4,31080,6896,6693,57994
0186 Lidingö,309700,30.59,1530,41.5,12539,2659,2743,41194
0187 Vaxholm,255600,31.5,254,38.2,1793,652,610,9725
0188 Norrtälje,196700,31.74,820,42.2,9908,2487,2023,54021
0191 Sigtuna,227100,31.75,751,37.6,9661,2234,2186,36028
0192 Nynäshamn,211900,31.45,436,40.1,5972,1551,1520,24587
0305 Håbo,239900,32.2,332,36.3,1732,1189,1094,18115
0319 Älvkarleby,193400,33.05,211,42.6,1572,478,387,9028
0330 Knivsta,245500,31.4,377,36.2,1310,1004,886,12821
0360 Tierp,178600,31.45,382,42.5,3509,1128,1013,20116
0380 Uppsala,207200,31.4,17755,38,56587,9426,9252,180669
0381 Enköping,198100,31.35,642,40.6,7721,1825,1492,38005
0382 Östhammar,196800,32.55,335,42.1,3438,920,977,21741
0428 Vingåker,182300,31.5,115,42.1,1504,551,535,9179
0461 Gnesta,198900,31.8,153,40.6,1542,697,527,10002
0480 Nyköping,200200,30,836,42.4,13955,2159,2003,49382
0481 Oxelösund,205800,30.8,131,43.6,3158,726,563,11299
0482 Flen,183900,31.1,247,42.7,3596,1111,980,16629
0483 Katrineholm,185100,30.5,556,41.9,9164,1642,1602,32418
